OpenAlex_ID	Notes
W1545215516	2015 Prostate Cancer false positive
W4283024740	Unrelated
W2001955247	Unrelated
W1558785724	Unrelated
W2009407048	Unrelated
W4211205622	Unrelated
W2036468203	Unrelated
W2317265870	Unrelated
W4244468363	Unrelated
W2553108318	Unrelated
W2940728132	Unrelated
W2890147601	Unrelated
W2998032165	Unrelated
W3107595555	Unrelated
W3111885646	Unrelated
W3126896713	Unrelated
W3171252089	Unrelated
W4294647544	Unrelated
W4206002853	Unrelated
W4387766675	Unrelated
W4400127638	Unrelated
W4389056636	Unrelated
W4391429075	Unrelated
