Title	Publication Date	Authors	Journal	DOI	Cited By
Abstract 3878: Subcellular characterization of over 100 proteins in FFPE tumor biopsies with CosMx Spatial Molecular Imager	2022-06-15	Zachary Lewis, Tien Phan‐Everson, Gary Geiss, Mithra Korukonda, Ruchir Bhatt, Carl Brown, Dwayne Dunaway, Joseph Phan, Alyssa Rosenbloom, Brian Filanoski, Rhonda Meredith, Kan Chantranuvatana, Yan Liang, Emily Brown, Brian Birditt, Giang T. Ong, Hye Son Yi, Erin Piazza, Vikram Devgan, Nicole Ortogero, Patrick Danaher, Sarah Warren, Michael Rhodes, Joseph Beechem	Cancer Research	https://doi.org/10.1158/1538-7445.am2022-3878	6
Abstract 6765: Spatial insights into tumor immune evasion illuminated with 1000-plex RNA profiling with CosMx Spatial Molecular Imager	2023-04-04	Claire Williams, Jason Reeves, Patrick Danaher, Shanshan He, Sean Kim, Michael Patrick, Julian Preciado, Mark Gregory, Zach Reitz, Justin Jenkins, Rachel Liu, Sarah Murphy, Christine Kang, Byron H. Hartman, Vikram Devgan, Michael Rhodes, Joseph Beechem	Cancer Research	https://doi.org/10.1158/1538-7445.am2023-6765	8
A complete pipeline for high‐plex spatial proteomic profiling and analysis of neural cell phenotypes on the CosMx™ Spatial Molecular Imager and AtoMx™ Spatial Informatics Platform	2023-12-01	Alyssa Rosenbloom, Shilah A. Bonnett, Mark Conner, Tien Phan‐Everson, Zachary Lewis, Giang T. Ong, Yan Liang, Emily Brown, Liuliu Pan, Aster Wardhani, Mithra Korukonda, Carl Brown, Dwayne Dunaway, Edward Zhao, Dan McGuire, Sangsoon Woo, Brian Filanoski, Rhonda Meredith, Kan Chantranuvatana, Brian Birditt, Hye Son Yi, Erin Piazza, Jason Reeves, Christine Kang, Gary Geiss, Joseph Beechem	Alzheimer s & Dementia	https://doi.org/10.1002/alz.076665	4
A technical comparison of spatial transcriptomics platforms across six cancer types - Xenium & CosMx	2026-01-01	Sergi Cervilla, Daniela Grases Mendoza, Eduard Porta-Pardo	Zenodo (CERN European Organization for Nuclear Research)	https://doi.org/10.5281/zenodo.17986017	1
High-plex imaging of RNA and proteins at subcellular resolution in fixed tissue by spatial molecular imaging	2022-10-06	Shanshan He, Ruchir Bhatt, Carl Brown, Emily Brown, Derek L. Buhr, Kan Chantranuvatana, Patrick Danaher, Dwayne Dunaway, Ryan G. Garrison, Gary Geiss, Mark Gregory, Margaret L. Hoang, Rustem Khafizov, Emily Killingbeck, Dae Joon Kim, Tae Kyoung Kim, Young‐Mi Kim, Andrew Klock, Mithra Korukonda, Alecksandr Kutchma, Zachary Lewis, Yan Liang, Jeffrey S. Nelson, Giang T. Ong, Evan P. Perillo, Joseph C. Phan, Tien Phan-Everson, Erin Piazza, Tushar D. Rane, Zachary Reitz, Michael Rhodes, Alyssa Rosenbloom, David Ross, Hiromi Sato, Aster Wardhani, Corey A. Williams-Wietzikoski, Lidan Wu, Joseph Beechem	Nature Biotechnology	https://doi.org/10.1038/s41587-022-01483-z	690
NoButter: An R package for reducing transcript dispersion in CosMx Spatial Molecular Imaging Data	2024-11-28	Beibhinn O'Hora, Roman Laddach, Rosamond Nuamah, Victoire Boulat, Isobelle Wall, Joseph A. Bell, David A. Johnston, Sonya James, Jeanette Norman, Mark G. Jones, Ciro Chiappini, Anita Grigoriadis, Jelmar Quist	Unknown Journal	https://doi.org/10.1101/2024.11.25.625243	1
CosMx SMI data of one HGSOC tumour reveals ovarian cancer subclones with distinct tumour microenvironments and autocrine circuits	2023-01-01	Elena Denisenko, Rui Hou, Paul A. Cohen, Yu Yu, Alistair R. R. Forrest	Zenodo (CERN European Organization for Nuclear Research)	https://doi.org/10.5281/zenodo.10048057	1
Macrophage and neutrophil heterogeneity at single-cell spatial resolution in human inflammatory bowel disease	2023-07-26	Alba Garrido-Trigo, A M Corraliza, Marisol Veny, Isabella Dotti, Elisa Melón-Ardanaz, Aina Rill, Helena L. Crowell, Ángel L. Corbí, Victòria Gudiño, Míriam Esteller, Iris Álvarez-Teubel, Daniel Aguilar, Maria Carme Masamunt, Emily Killingbeck, Young‐Mi Kim, Michael Leon, Sudha Visvanathan, Doménica Marchese, Ginevra Caratù, Albert Martín‐Cardona, María Esteve, Íngrid Ordás, Julián Panés, Elena Ricart, Elisabetta Mereu, Holger Heyn, Azucena Salas	Nature Communications	https://doi.org/10.1038/s41467-023-40156-6	233
Single-cell multi-omic and spatial profiling of human kidneys implicates the fibrotic microenvironment in kidney disease progression	2024-07-24	Amin Abedini, Jonathan Levinsohn, Konstantin A. Klötzer, Bernhard Dumoulin, Ziyuan Ma, Julia Frederick, Poonam Dhillon, Michael S. Balzer, Rojesh Shrestha, Hongbo Liu, Steven Vitale, Andi M. Bergeson, Kishor Devalaraja‐Narashimha, Paola Grandi, Tanmoy Bhattacharyya, Erding Hu, Steven S. Pullen, Carine M. Boustany‐Kari, Paolo Guarnieri, Anil Karihaloo, Daniel Traum, Hanying Yan, Kyle Coleman, Matthew Palmer, Lea Sarov‐Blat, Lori Morton, Christopher A. Hunter, Klaus H. Kaestner, Mingyao Li, Katalin Suszták	Nature Genetics	https://doi.org/10.1038/s41588-024-01802-x	106
A Comparative Analysis of Imaging-Based Spatial Transcriptomics Platforms	2023-12-14	David P. Cook, Kirk B. Jensen, Kellie Wise, Michael J. Roach, Felipe Segato Dezem, Natalie K. Ryan, Michel Zamojski, Ioannis S. Vlachos, Simon Knott, Lisa M. Butler, Jeffrey L. Wrana, Nicholas E. Banovich, Jasmine Plummer, Luciano G. Martelotto	Unknown Journal	https://doi.org/10.1101/2023.12.13.571385	69
Spatial transcriptomics reveals discrete tumour microenvironments and autocrine loops within ovarian cancer subclones	2024-04-03	Elena Denisenko, Leanne de Kock, Adeline Tan, Aaron B. Beasley, Maria Beilin, Matthew E. Jones, Rui Hou, Dáithí Ó Muirí, Sanela Bilic, G. Raj K. A. Mohan, Stuart Salfinger, Simon A. Fox, Khaing Pann Witt Hmon, Yen Yeow, Youngmi Kim, Rhea John, Tami S. Gilderman, Emily Killingbeck, Elin S. Gray, Paul A. Cohen, Yu Yu, Alistair R. R. Forrest	Nature Communications	https://doi.org/10.1038/s41467-024-47271-y	98
Nanostring CosMx	2024-01-01	Ziyi Li	Figshare	https://doi.org/10.6084/m9.figshare.23972991	0
CosMx for FFPE v2	2025-06-24	Joanna Bi	Unknown Journal	https://doi.org/10.17504/protocols.io.3byl41mrolo5/v2	0
CosMx for FFPE v1	2025-06-24	Joanna Bi	Unknown Journal	https://doi.org/10.17504/protocols.io.3byl41mrolo5/v1	0
spaCI: deciphering spatial cellular communications through adaptive graph model	2022-12-21	Ziyang Tang, Tonglin Zhang, Baijian Yang, Jing Su, Qianqian Song	Briefings in Bioinformatics	https://doi.org/10.1093/bib/bbac563	69
CosMx raw data files	2026-02-10	Los Angeles University of California, University of Michigan	Zenodo (CERN European Organization for Nuclear Research)	https://doi.org/10.5281/zenodo.18602258	0
CosMx raw data files	2026-02-10	Los Angeles University of California, University of Michigan	Zenodo (CERN European Organization for Nuclear Research)	https://doi.org/10.5281/zenodo.18602259	0
Microglia-astrocyte crosstalk in the amyloid plaque niche of an Alzheimer’s disease mouse model, as revealed by spatial transcriptomics	2024-05-30	Anna Mallach, Magdalena Zielonka, Veerle van Lieshout, Yanru An, Jia Hui Khoo, Marisa Vanheusden, Wei-Ting Chen, Daan Moechars, I. Lorena Arancibia‐Cárcamo, Mark Fiers, Bart De Strooper	Cell Reports	https://doi.org/10.1016/j.celrep.2024.114216	82
CosMx Spatial Transcriptomics Protocol v1	2025-09-23	Asmita Kishor Lagwankar, Amanda Knoten, Siegmar Reinert, Sanjay Jain	Unknown Journal	https://doi.org/10.17504/protocols.io.x54v95w7pl3e/v1	0
CosMx Protein slide preparation v1	2024-04-25	Spatial Touchstone	Unknown Journal	https://doi.org/10.17504/protocols.io.bp2l62bokgqe/v1	0
CosMx RNA Slide Preparation v1	2024-04-25	Spatial Touchstone	Unknown Journal	https://doi.org/10.17504/protocols.io.eq2lywpomvx9/v1	0
High-plex Multiomic Analysis in FFPE at Subcellular Level by Spatial Molecular Imaging	2021-11-04	Shanshan He, Ruchir Bhatt, Carl Brown, Emily Brown, Derek L. Buhr, Kan Chantranuvatana, Patrick Danaher, Dwayne Dunaway, Ryan G. Garrison, Gary Geiss, Mark Gregory, Margaret L. Hoang, Rustem Khafizov, Emily Killingbeck, Dae Joon Kim, Tae Kyoung Kim, Youngmi Kim, Andrew Klock, Mithra Korukonda, Alecksandr Kutchma, Zachary Lewis, Yan Liang, Jeffrey S. Nelson, Giang T. Ong, Evan P. Perillo, Joseph C. Phan, Tien Phan-Everson, Erin Piazza, Tushar D. Rane, Zachary Reitz, Michael Rhodes, Alyssa Rosenbloom, David Ross, Hiromi Sato, Aster Wardhani, Corey A. Williams-Wietzikoski, Lidan Wu, Joseph Beechem	Unknown Journal	https://doi.org/10.1101/2021.11.03.467020	73
NanoString CosMx Manual Slide Preparation v1	2025-04-17	MacKenzie L. Bolen, Malú G. Tansey	Unknown Journal	https://doi.org/10.17504/protocols.io.q26g753m3lwz/v1	0
