Title	Publication Date	Authors	Institutions	Journal	DOI	Cited By	Type	Open Access	Primary Topic	Has_CosMx	Has_GeoMx	Has_AtoMx	Has_nCounter
High-plex imaging of RNA and proteins at subcellular resolution in fixed tissue by spatial molecular imaging	2022-10-06	Shanshan He, Ruchir Bhatt, Carl Brown, Emily Brown, Derek L. Buhr, Kan Chantranuvatana, Patrick Danaher, Dwayne Dunaway, Ryan G. Garrison, Gary Geiss, Mark Gregory, Margaret L. Hoang, Rustem Khafizov, Emily Killingbeck, Dae Joon Kim, Tae Kyoung Kim, Young‐Mi Kim, Andrew Klock, Mithra Korukonda, Alecksandr Kutchma, Zachary Lewis, Yan Liang, Jeffrey S. Nelson, Giang T. Ong, Evan P. Perillo, Joseph C. Phan, Tien Phan-Everson, Erin Piazza, Tushar D. Rane, Zachary Reitz, Michael Rhodes, Alyssa Rosenbloom, David Ross, Hiromi Sato, Aster Wardhani, Corey A. Williams-Wietzikoski, Lidan Wu, Joseph Beechem	Nanostring Technologies (United States)	Nature Biotechnology	https://doi.org/10.1038/s41587-022-01483-z	693	article	False	Single-cell and spatial transcriptomics	True	False	False	False
Abstract 3878: Subcellular characterization of over 100 proteins in FFPE tumor biopsies with CosMx Spatial Molecular Imager	2022-06-15	Zachary Lewis, Tien Phan‐Everson, Gary Geiss, Mithra Korukonda, Ruchir Bhatt, Carl Brown, Dwayne Dunaway, Joseph Phan, Alyssa Rosenbloom, Brian Filanoski, Rhonda Meredith, Kan Chantranuvatana, Yan Liang, Emily Brown, Brian Birditt, Giang T. Ong, Hye Son Yi, Erin Piazza, Vikram Devgan, Nicole Ortogero, Patrick Danaher, Sarah Warren, Michael Rhodes, Joseph Beechem	Nanostring Technologies (United States)	Cancer Research	https://doi.org/10.1158/1538-7445.am2022-3878	6	article	False	Single-cell and spatial transcriptomics	True	False	False	False
Abstract 6765: Spatial insights into tumor immune evasion illuminated with 1000-plex RNA profiling with CosMx Spatial Molecular Imager	2023-04-04	Claire Williams, Jason Reeves, Patrick Danaher, Shanshan He, Sean Kim, Michael Patrick, Julian Preciado, Mark Gregory, Zach Reitz, Justin Jenkins, Rachel Liu, Sarah Murphy, Christine Kang, Byron H. Hartman, Vikram Devgan, Michael Rhodes, Joseph Beechem	Nanostring Technologies (United States)	Cancer Research	https://doi.org/10.1158/1538-7445.am2023-6765	8	article	False	Single-cell and spatial transcriptomics	True	False	False	False
Macrophage and neutrophil heterogeneity at single-cell spatial resolution in human inflammatory bowel disease	2023-07-26	Alba Garrido-Trigo, A M Corraliza, Marisol Veny, Isabella Dotti, Elisa Melón-Ardanaz, Aina Rill, Helena L. Crowell, Ángel L. Corbí, Victòria Gudiño, Míriam Esteller, Iris Álvarez-Teubel, Daniel Aguilar, Maria Carme Masamunt, Emily Killingbeck, Young‐Mi Kim, Michael Leon, Sudha Visvanathan, Doménica Marchese, Ginevra Caratù, Albert Martín‐Cardona, María Esteve, Íngrid Ordás, Julián Panés, Elena Ricart, Elisabetta Mereu, Holger Heyn, Azucena Salas	Consorci Institut D'Investigacions Biomediques August Pi I Sunyer, Mútua Terrassa, Josep Carreras Leukaemia Research Institute, Centro de Investigaciones Biológicas Margarita Salas, SIB Swiss Institute of Bioinformatics, Centre for Genomic Regulation, Universitat de Barcelona, Boehringer Ingelheim (United States), Pompeu Fabra University, Nanostring Technologies (United States), University of Zurich, Consejo Superior de Investigaciones Científicas, Centro de Investigación Biomédica en Red de Enfermedades Hepáticas y Digestivas	Nature Communications	https://doi.org/10.1038/s41467-023-40156-6	236	article	True	Single-cell and spatial transcriptomics	True	True	False	False
A complete pipeline for high‐plex spatial proteomic profiling and analysis of neural cell phenotypes on the CosMx™ Spatial Molecular Imager and AtoMx™ Spatial Informatics Platform	2023-12-01	Alyssa Rosenbloom, Shilah A. Bonnett, Mark Conner, Tien Phan‐Everson, Zachary Lewis, Giang T. Ong, Yan Liang, Emily Brown, Liuliu Pan, Aster Wardhani, Mithra Korukonda, Carl Brown, Dwayne Dunaway, Edward Zhao, Dan McGuire, Sangsoon Woo, Brian Filanoski, Rhonda Meredith, Kan Chantranuvatana, Brian Birditt, Hye Son Yi, Erin Piazza, Jason Reeves, Christine Kang, Gary Geiss, Joseph Beechem	Nanostring Technologies (United States)	Alzheimer s & Dementia	https://doi.org/10.1002/alz.076665	4	article	True	Single-cell and spatial transcriptomics	True	False	True	False
A Comparative Analysis of Imaging-Based Spatial Transcriptomics Platforms	2023-12-14	David P. Cook, Kirk B. Jensen, Kellie Wise, Michael J. Roach, Felipe Segato Dezem, Natalie K. Ryan, Michel Zamojski, Ioannis S. Vlachos, Simon Knott, Lisa M. Butler, Jeffrey L. Wrana, Nicholas E. Banovich, Jasmine Plummer, Luciano G. Martelotto	Lunenfeld-Tanenbaum Research Institute, Harvard University, Cedars-Sinai Medical Center, Broad Institute, Beth Israel Deaconess Medical Center, University of Toronto, St. Jude Children's Research Hospital, Translational Genomics Research Institute, University of Adelaide, Australian Genome Research Facility, South Australian Health and Medical Research Institute, Centre for Cancer Biology	Unknown Journal	https://doi.org/10.1101/2023.12.13.571385	69	preprint	True	Single-cell and spatial transcriptomics	True	False	True	False
Spatial transcriptomics reveals discrete tumour microenvironments and autocrine loops within ovarian cancer subclones	2024-04-03	Elena Denisenko, Leanne de Kock, Adeline Tan, Aaron B. Beasley, Maria Beilin, Matthew E. Jones, Rui Hou, Dáithí Ó Muirí, Sanela Bilic, G. Raj K. A. Mohan, Stuart Salfinger, Simon A. Fox, Khaing Pann Witt Hmon, Yen Yeow, Youngmi Kim, Rhea John, Tami S. Gilderman, Emily Killingbeck, Elin S. Gray, Paul A. Cohen, Yu Yu, Alistair R. R. Forrest	Edith Cowan University, Curtin University, St John of God Subiaco Hospital, The University of Notre Dame Australia, The University of Western Australia, Queen Elizabeth II Medical Centre, Harry Perkins Institute of Medical Research, Children's Hospital of Eastern Ontario, Nanostring Technologies (United States)	Nature Communications	https://doi.org/10.1038/s41467-024-47271-y	99	article	True	Single-cell and spatial transcriptomics	True	False	False	False
NoButter: An R package for reducing transcript dispersion in CosMx Spatial Molecular Imaging Data	2024-11-28	Beibhinn O'Hora, Roman Laddach, Rosamond Nuamah, Victoire Boulat, Isobelle Wall, Joseph A. Bell, David A. Johnston, Sonya James, Jeanette Norman, Mark G. Jones, Ciro Chiappini, Anita Grigoriadis, Jelmar Quist	London Centre for Nanotechnology, London Cancer, Breast Cancer Now, NIHR Southampton Biomedical Research Centre, University of Southampton, King's College London, NIHR Southampton Respiratory Biomedical Research Unit, The Francis Crick Institute	Unknown Journal	https://doi.org/10.1101/2024.11.25.625243	1	preprint	True	Molecular Biology Techniques and Applications	True	False	False	False
A technical comparison of spatial transcriptomics platforms across six cancer types - Xenium & CosMx	2026-01-01	Sergi Cervilla, Daniela Grases Mendoza, Eduard Porta-Pardo	Universitat Politècnica de Catalunya, Barcelona Supercomputing Center, Josep Carreras Leukaemia Research Institute	Zenodo (CERN European Organization for Nuclear Research)	https://doi.org/10.5281/zenodo.17986017	1	dataset	True	Unknown	True	False	False	False
spaCI: deciphering spatial cellular communications through adaptive graph model	2022-12-21	Ziyang Tang, Tonglin Zhang, Baijian Yang, Jing Su, Qianqian Song	Wake Forest University, Atrium Health Wake Forest Baptist, Indiana University, Indiana University School of Medicine	Briefings in Bioinformatics	https://doi.org/10.1093/bib/bbac563	69	article	True	Advanced MIMO Systems Optimization	True	False	False	False
